File,k,n_clusters,Silhouette Score
D11_data.csv,2,5,0.4714251675346275
D11_data.csv,3,5,0.6080093276882742
D11_data.csv,4,5,0.7065859023459862
D11_data.csv,5,5,0.6370820966378891
D11_data.csv,6,5,0.671795598645581
D11_data.csv,7,5,0.7272666218073093
D11_data.csv,8,5,0.7216124590024809
D11_data.csv,9,5,0.6276747456966074
D11_data.csv,10,5,0.6326104363124583
D11_data.csv,11,5,0.5604693372316264
D17_data.csv,2,5,0.5033214603195655
D17_data.csv,3,5,0.651684369873872
D17_data.csv,4,5,0.7497573803237901
D17_data.csv,5,5,0.8031293541702094
D17_data.csv,6,5,0.7635655593106213
D17_data.csv,7,5,0.7343175473120098
D17_data.csv,8,5,0.7017239000240421
D17_data.csv,9,5,0.6908761296214573
D17_data.csv,10,5,0.6455123055572964
D17_data.csv,11,5,0.6291699414927767
D4_data.csv,2,4,0.6071512473404166
D4_data.csv,3,4,0.6829056059585646
D4_data.csv,4,4,0.7692955173291269
D4_data.csv,5,4,0.7817126552302771
D4_data.csv,6,4,0.8066151962278281
D4_data.csv,7,4,0.7126363788725879
D4_data.csv,8,4,0.6506495116214747
D4_data.csv,9,4,0.5903851052071218
D4_data.csv,10,4,0.4515191241690312
D4_data.csv,11,4,0.4485657837745443
D5_data.csv,2,5,0.5830253763664555
D5_data.csv,3,5,0.47262705264170735
D5_data.csv,4,5,0.5996287387714978
D5_data.csv,5,5,0.6148396918877991
D5_data.csv,6,5,0.7172848329171387
D5_data.csv,7,5,0.6392796674516402
D5_data.csv,8,5,0.6976876039612641
D5_data.csv,9,5,0.64110484466015
D5_data.csv,10,5,0.6149451981719338
D5_data.csv,11,5,0.6028696550270168
D6_data.csv,2,5,0.4365486715726689
D6_data.csv,3,5,0.6447070976466837
D6_data.csv,4,5,0.6792399322823719
D6_data.csv,5,5,0.7147343729524546
D6_data.csv,6,5,0.6306364591632295
D6_data.csv,7,5,0.5721119775863227
D6_data.csv,8,5,0.5029233501569599
D6_data.csv,9,5,0.4074069001852883
D6_data.csv,10,5,0.4042759249995941
D6_data.csv,11,5,0.39961034820940694
